Timestamp,TERM_ANA,LM35_0,LM35_1,LM35_2,DS18B20_0,DS18B20_1,DS18B20_2
2025-05-21 09:38:00,790.0,556.0,609.0,26.0,11.75,14.13,15.94
2025-05-21 09:38:02,790.0,556.0,613.0,25.0,11.75,14.13,15.94
2025-05-21 09:38:04,789.0,556.0,612.0,21.0,11.75,14.06,15.94
2025-05-21 09:38:05,790.0,556.0,612.0,36.0,11.75,14.06,15.94
2025-05-21 09:38:07,789.0,556.0,612.0,21.0,11.81,14.13,15.94
2025-05-21 09:38:09,790.0,556.0,610.0,28.0,11.81,14.06,15.94
2025-05-21 09:38:10,789.0,556.0,610.0,23.0,11.81,14.13,15.94
2025-05-21 09:38:12,790.0,556.0,611.0,48.0,11.81,14.13,15.88
2025-05-21 09:38:14,789.0,556.0,608.0,40.0,11.81,14.06,15.94
2025-05-21 09:38:16,790.0,556.0,611.0,22.0,11.81,14.13,15.94
2025-05-21 09:38:17,789.0,556.0,612.0,22.0,11.81,14.13,15.88
2025-05-21 09:38:19,789.0,556.0,614.0,31.0,11.88,14.13,15.88
2025-05-21 09:38:21,788.0,556.0,614.0,21.0,11.88,14.06,15.94
2025-05-21 09:38:22,790.0,556.0,612.0,50.0,11.88,14.13,15.88
2025-05-21 09:38:24,787.0,556.0,614.0,21.0,11.81,14.13,15.88
2025-05-21 09:38:26,790.0,556.0,614.0,27.0,11.81,14.13,15.88
2025-05-21 09:38:27,790.0,557.0,611.0,27.0,11.88,14.13,15.88
2025-05-21 09:38:29,788.0,556.0,616.0,23.0,11.88,14.13,15.88
2025-05-21 09:38:31,788.0,556.0,611.0,21.0,11.88,14.06,15.88
2025-05-21 09:38:32,788.0,556.0,613.0,26.0,11.88,14.13,15.88
2025-05-21 09:38:34,788.0,556.0,613.0,27.0,11.88,14.13,15.88
2025-05-21 09:38:36,789.0,557.0,611.0,36.0,11.88,14.13,15.88
2025-05-21 09:38:38,788.0,556.0,616.0,28.0,11.88,14.06,15.88
2025-05-21 09:38:39,788.0,556.0,611.0,29.0,11.88,14.13,15.88
2025-05-21 09:38:41,788.0,556.0,629.0,24.0,11.88,14.13,15.88
2025-05-21 09:38:43,789.0,556.0,612.0,27.0,11.88,14.13,15.88
2025-05-21 09:38:44,788.0,556.0,616.0,41.0,11.88,14.13,15.88
2025-05-21 09:38:46,789.0,556.0,616.0,21.0,11.88,14.13,15.88
2025-05-21 09:38:48,788.0,556.0,613.0,21.0,11.88,14.06,15.88
2025-05-21 09:38:49,788.0,556.0,615.0,21.0,11.88,14.13,15.88
2025-05-21 09:38:51,789.0,556.0,615.0,35.0,11.88,14.13,15.88
2025-05-21 09:38:53,789.0,556.0,616.0,29.0,11.88,14.13,15.88
